Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.
	“Wow, trông họ giống nhau thật đấy? Làm sao anh tìm được ai đó giống nhau đến vậy trong số các phù thủy vậy?”



	Việc coi đó là một phần của lễ hội là điều tự nhiên.



	Nếu không thì làm sao Nữ hoàng băng giá có thể đi lại trước mắt bạn được?



	Shirone hẳn đã nghĩ rằng ban tổ chức đã tổ chức một chương trình tuyệt vời nếu cô không nhìn thấy làn sóng xung kích bùng nổ trước mắt Lilia.



	Khi Nữ hoàng băng giá bước về phía đám đông, khách du lịch đã vỗ tay và reo hò.



	Lễ hội mùa đông diễn ra hằng năm, nhưng sự kiện đặc biệt năm nay là điều mà họ cho là mới lạ.



	Ai có thể nghĩ đến việc hồi sinh Nữ hoàng băng giá huyền thoại?



	Ngay cả nữ hoàng băng giá làm bằng sáp cũng có nhiều người hâm mộ bị mê hoặc bởi vẻ đẹp của cô. Tuy nhiên, ngoại hình của người phụ nữ đóng vai này không thể so sánh với một con búp bê sáp.



	Đó là một khả năng tuyệt vời có được nhờ sức mạnh của sự sống.



	“Phew! Nữ hoàng băng giá! Xin hãy nắm tay tôi một lần!”



	Khi người đàn ông bụng phệ mỉm cười ngượng ngùng và đưa tay ra, người bên cạnh đã ngăn anh ta lại như thể anh ta là Arthur.



	“Ồ, thô lỗ quá. Nếu anh cứ tiếp tục như vậy, anh có thể bị đông cứng mất.”



	Mọi người bật cười. Không ai nhận ra đây là sự thật.



	Ngay cả khi những câu chuyện cười vang lên, Nữ hoàng băng giá vẫn chỉ bước đi với vẻ mặt thờ ơ.



	Lyria theo dõi mọi hành động của Nữ hoàng băng giá trong khi vẫn để mắt tới cô ấy.



	'Có thể là gì? Anh đã đụng đến luật nào?'



	Luật của luật đã thay đổi luật của tất cả mọi người ngoại trừ Sirone và nhóm của cô.



	Chưa có gì đặc biệt xảy ra, nhưng xét đến sức mạnh của sóng, quy mô của sự thay đổi sẽ là rất lớn.



	=======================================





Số 337





	Nữ hoàng băng giá từ từ giơ tay lên nói.



	“Những con người yếu đuối, hãy quỳ xuống trước mặt ta.”



	Các du khách vỗ tay và reo hò khi giọng nói của Nữ hoàng băng giá trở nên khá nghiêm túc.



	“Giọng của bạn hay quá! Nghe có vẻ hợp lý.”



	“Này, bệ hạ! Quay sang bên này nữa đi. Thay vào đó, hãy nhân cơ hội này bắt tay với Nữ hoàng băng giá… Phù!”



	Người đàn ông đột nhiên túm lấy cổ cô và quỳ xuống.



	Tình huống tương tự cũng xảy ra với nhiều người cùng một lúc.



	Khuôn mặt anh ta đỏ bừng vì máu, như thể nó sẽ vỡ ra bất cứ lúc nào. Anh ta tuyệt vọng hít không khí, nhưng hơi thở của anh ta ngày càng trở nên hỗn loạn.



	Những người duy nhất đứng bình thường là Shirone và nhóm của cô ấy.



	Shirone quan sát những thay đổi ở mọi người. Trước khi cô nhận ra, họ đã đeo những chiếc vòng cổ có gai hình nón quanh cổ.



	Lilia lẩm bẩm và nhíu mày.



	“Đó có phải là Pháp Luân không…?”



	Bánh xe Dharma là một công cụ trừ tà của Jeseonhoe chứa đựng các nguyên tắc của luật pháp trong hình dạng của nó, và hiệu quả của nó được tối đa hóa khi nó càng gần với một vòng tròn hoàn hảo.



	Bánh xe Pháp Luân mà công chúng được biết đến chỉ là một bản sao, và mục đích tốt nhất của nó là mang lại sự ổn định cho tâm trí và cơ thể.



	Tuy nhiên, bánh xe Pháp chính thức mà vị sư sở hữu không thể được sản xuất trừ khi nó được làm bởi một người thợ làm vũ khí đã đạt đến trạng thái Niết bàn.



	Trong mắt Lilia, bánh xe Pháp luân treo trên cổ mọi người là thật.



	Mặc dù không thể nhận biết được sự hoàn hảo của vòng tròn bằng mắt thường, nhưng các bậc thầy tâm linh được đào tạo lâu năm có thể cảm nhận được bản chất của vòng tròn bằng con mắt bên trong của họ.



	“Bánh xe cứu chuộc. Nó không phải là thứ gì đó của thế giới này. Bạn cũng vậy, hãy cẩn thận. Nếu bạn bị cuốn vào những con sóng của luật pháp, đó là những gì sẽ xảy ra với bạn.”



	Khi tất cả những ai bị làn sóng luật pháp đánh trúng đều mất đi sức mạnh ở chân và khuỵu xuống, bánh xe luật pháp cũng nới lỏng và không khí cuối cùng cũng hòa vào lời cầu nguyện.



	Tiếng thở dốc có thể nghe thấy ở đây và đó.



	“Whoa! Whoa! Cái gì thế kia? Ai đeo chiếc vòng cổ này thế?”



	“Này! Ai đó làm ơn tháo cái này ra!”



	Jockley cảm thấy rùng mình khi nhìn thấy mọi người la hét vì sợ hãi.



	Hình dạng của Bánh xe Pháp là hiện thân của ký ức của Nữ hoàng Băng giá, nhưng cách nó bóp nghẹt mọi người lại là chiến lược do chính hắn đề xuất.



	Nữ hoàng băng giá có thể thay đổi luật lệ của thế giới.



	Thực ra, tôi đã tự hỏi liệu mình có thể làm được điều này không, nhưng khi thấy mọi người đều quỳ xuống, tôi đã nhận ra điều đó.



	Truyền thuyết về Nữ hoàng băng giá nổi tiếng cách đây 800 năm hoàn toàn có thật.



	'Xong rồi! Xong thật rồi! Tôi chưa bao giờ nghĩ một ngày như thế này sẽ đến với mình.'



	Nếu mọi chuyện cứ tiếp diễn như thế này thì việc thống trị thế giới sẽ không còn là giấc mơ nữa.



	Hơn nữa, có lẽ vì đã ngủ đông trong 800 năm nên bà không còn nhớ gì về quá khứ của mình.



	Phù thủy từng khủng bố thế giới đã biến thành một đứa trẻ có thể bị lừa bằng một viên kẹo.



	'Tôi sẽ chọn Nữ hoàng băng giá.'



	Sau khi dọn sạch nơi này, tôi dự định sẽ nhẹ nhàng dụ dỗ Nữ hoàng băng giá trở thành người phụ nữ của mình.



	Thật kỳ lạ khi hẹn hò với một người đã hơn tám trăm tuổi, nhưng có vẻ như bà ấy có thể bị thuyết phục nếu bạn chỉ cần dụ dỗ, và trên hết, bà ấy rất xinh đẹp.



	Ngoại hình của cô không hề thua kém Amy, người đã lạnh lùng đá anh cách đây 5 năm.



	Trong lúc đang chìm đắm trong ảo tưởng, Nữ hoàng băng giá quay sang Joker và hỏi.



	“Đây có phải là cách đúng đắn để làm không?”



	Joke mỉm cười hài lòng trước thái độ của Nữ hoàng băng giá khi luôn hỏi han ngay cả những điều nhỏ nhặt nhất và tin tưởng cô.



	Nhưng không cần phải làm phật lòng cô ấy ngay lúc này nên cô ấy cúi đầu và trả lời như thể cô ấy là một nữ hoàng thực sự.



	“Vâng. Mọi người sẽ tuân lệnh Nữ hoàng.”



	Lyria nhận ra rằng hầu hết các yếu tố tạo nên tính cách của Nữ hoàng băng giá đều chịu ảnh hưởng từ Jocrae.



	'Liệu kết cục có đúng như lời tiên tri không...?'



	Giống như hầu hết các câu chuyện thần thoại khác, lần này Nữ hoàng băng giá sẽ gặp một con người và đẩy thế giới vào vực thẳm của cái ác.



	Shirone nhìn cảnh tượng hàng trăm người đang quỳ gối với vẻ mặt mệt mỏi.



	“Cái quái gì thế này? Trông không giống phép thuật chút nào.”



	Đây là một câu hỏi tự nhiên đối với một người không biết luật.



	Đây không phải là sự trao đổi tương đương.



	Không có cách nào để lấp đầy bánh xe pháp đã bóp nghẹt hàng trăm người vì không tuân theo chỉ dẫn.



	Ngay cả quy tắc ăn uống của Lee Gi-rin thuộc Sở Thiên Tiên cũng không kỳ lạ đến thế.



	Dante không có thời gian để giải thích nên chỉ nói ngắn gọn.



	"Đó là một sức mạnh được gọi là Luật. Hãy cẩn thận. Người phụ nữ đó có sức mạnh thay đổi các quy tắc của thế giới."



	“Thay đổi luật lệ à?”



	Điều đầu tiên xuất hiện trong tâm trí Shirone là Hồ sơ Akashic.



	Nhưng không ai khác ngoài Phù thủy vô hạn có thể bẻ cong các quy tắc ở quy mô lớn như vậy.



	Vậy thì có một khả năng.



	Nếu đó là bản ghi chép Akashic ngay từ đầu.



	“Đó có phải là một loại…khái niệm nào đó không?”



	Lilia mở to mắt và quay đầu lại.



	Không ai ngoài những người thực hành tâm linh có thể nhìn thấy thân thể tâm linh dành cho cơ thể con người và hiểu được bản chất của nó.



	'Đứa trẻ này biết luật… … .'



	Hầu hết mọi người sống mà không biết rằng thế giới vận hành theo những quy luật chung.



	Thật đáng ngạc nhiên khi Sirone biết cơ chế của luật mà chỉ được truyền lại cho một số ít người được chọn ngay cả trong đền thờ Thần đạo.



	“Đúng vậy. Đó là một thực thể tinh thần mà tính cách của nó ngay từ đầu đã không thể xác định được. Đó là một hiện tượng được gọi là bán thần. Các ngươi, những người không biết luật lệ, không thể chống lại nó. Đừng rời xa ta.”



	Amy giơ nắm đấm lên và hét vào mặt Jockrey.



	“Anh! Anh đang định làm cái quái gì thế?”



	“Ha ha ha! Ngươi nói dối sao? Ngươi còn cho rằng đây là chuyện đùa sao? Chúng ta sẽ chinh phục thế giới.”



	“Đừng nói nhảm nữa! Bạn có chắc là bạn muốn thành thật không?”



	Jockley cười và kể lại cho mọi người nghe.



	“Tất cả phải tôn thờ Nữ hoàng. Nếu bạn không tuân theo lệnh của bà ấy, luật của Nữ hoàng sẽ giết chết bạn.”



	Khi Bánh Xe Pháp Luân siết cổ họ, những người da tái mét, chống tay xuống sàn và rên rỉ.



	Sau đó anh ta hét lên bằng giọng khàn khàn.



	“Này, nữ hoàng vạn tuế!”



	“Tôi sẽ theo Nữ hoàng!”



	Khi khuôn mặt của những người tôn thờ Nữ hoàng trở lại trạng thái thanh thản, Shirone cuối cùng cũng nhận ra mức độ nghiêm trọng của tình hình.



	Luật này cũng được áp dụng cho các chỉ dẫn của Jokre. Không giống như phép thuật, vốn chỉ định một mục tiêu một cách hợp lý, luật này là một hoạt động nhằm cân bằng lại toàn bộ.



	Khi những giọng nói ca ngợi Nữ hoàng băng giá xuyên thủng bầu trời, Jockrey cảm thấy một niềm vui mà anh chưa từng cảm thấy trước đây trong đời.



	Cứ như thể tất cả bọn họ đều tôn thờ anh ấy vậy.



	“Thế nào? Đây là sức mạnh của ta, nếu ngươi bây giờ chịu khuất phục dưới ta, ta sẽ bảo đảm ngươi không có kết cục như vậy.”



	Jokre mong đợi nhìn thấy Shirone và nhóm của anh ta run rẩy vì sợ hãi. Tuy nhiên, trái với mong đợi, không ai di chuyển và chỉ quan sát tình hình diễn ra.



	Dante bước ra ngoài với hai tay đút trong túi quần.



	"Này, anh kia. Anh điên rồi à? Anh có biết mình đang làm gì không?"



	“Ha! Ngươi cho là ta điên rồi sao? Không đời nào! Ngươi không biết người ta là loại tình huống gì sao? Ngươi cũng sẽ như vậy kết cục.”



	“Anh vừa suýt giết chết hàng trăm người.”



	Khuôn mặt của Jockrey trở nên tái nhợt.



	“Ngươi muốn thống trị thế giới sao? Ngươi có biết điều đó có nghĩa là gì không? Ngươi có thực sự chịu trách nhiệm cho điều đó không?”



	“Ồ……!”



	Joker không thể trả lời.



	Trở thành người thống trị thế giới là tham vọng mà mỗi người đàn ông đều có ít nhất một lần. Tuy nhiên, khi trở về với thực tại, anh ta chỉ là một con người không muốn vào tù và càng không muốn chết.



	Nữ hoàng băng giá có thể thay đổi luật lệ, vì vậy nếu bạn xích cô ta lại, cô ta sẽ tuân theo lệnh của bạn ngay cả khi điều đó có nghĩa là giết cô ta.



	Đây chính là những suy nghĩ có tính toán của Jockrey.



	Nhưng nếu bạn từ chối thì sao?



	Tất cả bọn họ đều kết thúc cuộc đời mình như những xác chết với đốt sống cổ bị gãy.



	Tất nhiên, không có ai trên thế giới này muốn chết, nhưng khi tôi bắt đầu tưởng tượng về điều đó, một nỗi sợ hãi không thể chịu đựng được đã xâm chiếm tôi.



	'Tôi thực sự có thể chinh phục thế giới không?'



	Như Dante đã nói, có thể tôi đã phát điên trong một khoảnh khắc.



	Khi tôi đang nghĩ vậy, tôi nghe thấy giọng nói của Vivian.



	“Hả! Cái này là sao? Theo lời chúng ta nói, sẽ không có người chết! Đến lúc đó, các ngươi chính là nạn nhân đầu tiên!”



	Jockrey nhìn lại Vivian với vẻ mặt vô hồn. Ánh mắt của cô đã hoàn toàn thay đổi chỉ sau một đêm.



	"Các ngươi cho rằng các ngươi là chủ nhân của thế giới này bao lâu? Hiện tại chúng ta mới là người nắm quyền kiểm soát tình hình này!"



	'Vivian… … .'



	Joker nhìn Vivian và nhận ra.



	Cô ấy sẵn sàng đánh mất tất cả để nắm bắt cơ hội duy nhất trong đời.



	Vâng, không còn chỗ để rút lui nữa. Nếu đã đi đến bước này, bạn phải theo đuổi đến cùng, bất kể thế nào.



	Bởi vì kinh doanh lớn đòi hỏi lòng dũng cảm.



	Jockrey, người đã lấy lại bình tĩnh, bước ra và đưa tay ra.



	"Quỳ xuống, Amy. Và thú nhận với tôi. Hoặc tôi sẽ giết tất cả mọi người trong căn phòng này."



	Những người bị lời nói của Jokre làm cho kinh ngạc đều ngẩng đầu lên, bọn họ đã cảm thấy như thể Pháp Luân đang bóp chặt cổ họng mình.



	“Này! Quỳ xuống đi! Anh sẽ chết đấy!”



	"Mấy đứa nhóc chết tiệt kia! Nhanh lên và làm theo lời tôi bảo! Xin lỗi đi!"



	Những du khách không quan tâm đến việc Shirone và nhóm của anh ta đã làm gì với Jokre.
