Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.
	Mặc dù vậy, thái độ của Ordos vẫn quá khắc nghiệt đối với một người đến đón con mình.



	Có lẽ đây không phải là chỉ thị của hoàng gia.



	Người ta mong đợi rằng ông đã được lệnh phải cố gắng hết sức để chiều theo ý Shirone, nên không thể coi đây là điều gì khác ngoài bản chất của người dân Ordos.



	Mặc dù tính cách cầu kỳ của anh có thể hữu ích trong công việc, nhưng đối xử bất cẩn với Shirone, người có thể sớm trở thành hoàng tử, thì nói một cách nhẹ nhàng là ngay thẳng, còn nói một cách tệ hại là kiêu ngạo.



	“Vậy thì cho tôi một ngày thôi. Bố mẹ tôi không biết gì cả. Tôi cần ít nhất một ngày để thuyết phục họ.”



	Khuôn mặt của Ordos đỏ bừng.



	Tất nhiên, ông nổi tiếng là người nóng tính, nhưng ở đất nước mình, ông không được coi là người bướng bỉnh đến vậy.



	Nhưng đây là Tormia, một quốc gia đối thủ có tên là Đồng minh, và là một trường dạy phép thuật được giới quý tộc quản lý.



	Nếu bạn bị đàn áp, danh tiếng của Vương quốc Kazura sẽ giảm sút.



	Thật không may cho Shirone, nhưng Ordos chỉ trung thành với đất nước của mình.



	Hơn nữa, bố mẹ của Shirone đều là thường dân.



	Nếu phải mất thời gian để đưa một thường dân vào thì đó sẽ là một đòn giáng vào lòng tự trọng của ông ta.



	“Ta không cho phép. Mệnh lệnh của quốc vương là tuyệt đối! Cho nên, lập tức……!”



	Đúng lúc đó, giọng nói của ai đó vang lên từ cửa trước.



	“Chúng tôi đã xác định được danh tính của cha mẹ Shirone.”



	Khi các học sinh quay lại và đám đông tách ra, mắt Shirone mở to.



	Một người bất ngờ đang bước về phía tôi.



	Các sinh viên đã phải lòng vẻ đẹp của cô ngay cả trước khi họ biết cô là ai.



	Thân hình thon thả, khuôn mặt nhỏ nhắn. Đường nét trên khuôn mặt thanh thoát, mái tóc xanh như biển, uốn lượn theo từng đợt sóng.



	“Ồ, đẹp quá. Ai thế?”



	"Hả? Tôi biết anh chàng đó. Anh ấy là một nhạc sĩ rất nổi tiếng trong vương quốc."



	Shirone nhìn cô chằm chằm.



	Đó là Ozent Reyna, chị gái của Lian.



	Bên cạnh anh ta là quản gia Temuran với ánh mắt sắc bén.



	Reina nhìn vào mắt Shirone nhưng không để ý đến cô ấy mà đi thẳng đến chỗ Ordos.



	“Xin chào, ngài Ordos. Tôi đã nghe nói đến danh tiếng của ngài.”



	Ordos không vui khi công việc bị gián đoạn.



	Nhưng tôi không thể lên tiếng vì vẻ ngoài và thái độ của Reina mang lại cảm giác quý tộc đặc biệt.



	“Bạn là ai?”



	“Tôi là Reina của gia tộc Ozent. Tôi ở đây với tư cách là người đại diện cho người đứng đầu gia tộc, Ozent Bischoff, và là người đại diện hợp pháp của Sirone.”



	Gia tộc Ozent là một gia tộc quân sự có uy tín, nên Ordos đã nghe đến tên họ.



	Hơn nữa, với tư cách là người đại diện cho gia tộc, anh không thể tỏ ra thái độ lạnh lùng như trước được.



	“Tôi hiểu rồi. Vậy thì chúng ta hãy thảo luận về quá trình giao nộp Shirone. Đầu tiên……”



	"đầu tiên."



	Reina ngắt lời.



	“Tôi muốn yêu cầu thời gian chuẩn bị là ba ngày. Shirone là khách mời của vương quốc và vẫn chưa học được luật lệ của Kazura. Quản gia trưởng của gia tộc Ozent, Louis, đã đến Kazura ngày hôm qua. Sẽ không mất thời gian nếu chúng ta thảo luận về các thủ tục nhập cảnh ở đó. Trong thời gian chờ đợi, chúng ta sẽ dạy Shirone nghi thức của Kazura. Ngoài ra, từ bây giờ, mọi công việc liên quan đến Shirone sẽ được xử lý thông qua đội ngũ tận tụy của gia tộc Ozent.”



	“Ừm.”



	Ordos đang chìm đắm trong suy nghĩ.



	Tôi đã cố gắng sử dụng biện pháp cá nhân để nhanh chóng đảm bảo an toàn cho Shirone, nhưng giờ đã có người đại diện xuất hiện, biện pháp dùng quyền lực để đè bẹp cô ấy là vô ích. Từ giờ trở đi, đây sẽ là vấn đề ngoại giao.



	Dù sao đi nữa, vì gia đình Ozent đã nói rằng họ sẽ chuẩn bị nên anh ta đã đúng khi quay lại và thảo luận các khía cạnh hành chính với một người đàn ông tên là Lewis.



	“Hiểu rồi. Vậy thì tôi sẽ giao việc này cho anh. Nếu có chuyện gì xảy ra, hãy thảo luận với NCO Daltos của tôi ở đây. Tôi sẽ quay lại Kazura và truyền đạt thông điệp của anh.”



	“Được, vậy gặp lại ở cung điện nhé.”



	Sau lời chào hỏi theo thông lệ, Ordos lên xe ngựa.



	Ngay khi họ đến, các hiệp sĩ quay lại với cử chỉ trang trọng và hộ tống cỗ xe ngựa đi.



	Shirone sững sờ trước tình hình diễn ra trong chớp mắt. Sau đó, khi nhìn thấy Reina, nước mắt cô trào ra vì đau buồn.



	Với anh, người đã hoàn toàn mất trí vì áp lực của Ordos, sự xuất hiện của Reina giống như sự cứu rỗi vậy.



	“Chị Reina…….”



	Shirone gọi, nhưng Reina vẫn giữ vẻ mặt nghiêm túc khi cô trao đổi ý kiến với Temuran.



	Khi cô chỉ vào tờ giấy và đưa ra hướng dẫn, Temuran gật đầu và lùi lại.



	Chỉ đến lúc đó Reina mới quay lại và tiến về phía Shirone.



	Khi khoảng cách ngày càng gần hơn, vẻ mặt nghiêm túc biến mất và nụ cười xinh đẹp ban đầu của cô xuất hiện.



	Reina nháy mắt với Shirone và nói bằng giọng vui vẻ đặc trưng của cô.



	“Đã lâu rồi nhỉ, Shirone. Dạo này con thế nào?”



	Hoàn cảnh của gia đình Ozent (1)





	Bốn ngày trước khi Ordos đến tìm Shirone, Reina đã đến thăm Trường kiếm thuật Kaizen nơi Lian đang theo học.



	Anh ta cầm trên tay tờ báo cáo giữa kỳ nhàu nát và khuôn mặt đầy vẻ tức giận.



	Sau khi trải qua quá trình phỏng vấn và đến thẳng phòng giáo viên, cuối cùng Reina cũng tìm thấy anh ta.



	Đó là Kuan, người thầy tận tụy của Lian.



	Trước khi bị thương, cô đã tạo dựng được tên tuổi trên chiến trường, nhưng điều đó không quan trọng với cô vào lúc này.



	Có hợp lý không khi Lian lại đứng ở vị trí cuối cùng?



	Tôi thầm mong chờ được nghe rằng anh ấy đã cải thiện được khả năng kiếm thuật của mình sau khi trở về từ cuộc vui chơi thỏa thích trên Đảo Galliant, nhưng cuộc đánh giá của trường dành cho anh ấy đã thất bại hoàn toàn.



	=======================================





Số 263





	Kuan đang nói chuyện với một giáo viên nữ. Giáo viên nữ này cũng là người mà Reina đã nghe đồn.



	Đó là Kiyora Ellis, một bác sĩ phẫu thuật nổi tiếng trong vương quốc.



	Chuyên khoa của Ellis là ghép thần kinh, một lĩnh vực được biết là không thể thực hiện được nếu không có thiên tài phẫu thuật.



	Tuy nhiên, Reina, người đã bắt đầu mất lòng tin vào Trường phái Kaizen của Kenjutsu, cho rằng đó cũng là một sự cường điệu.



	Nếu khớp thần kinh thực sự có thể tồn tại, tại sao Kuan, đứng trước mắt tôi, lại đi khập khiễng trên một chân?



	Khi Kuan nói điều gì đó với vẻ mặt lạnh lùng, Ellis che miệng và cười.



	“Ha ha ha! Cho nên ngươi nói ngươi vừa mới ăn xong liền trở về? Dù sao ngươi vẫn là ngươi.”



	“Im lặng đi. Nếu anh còn làm thế thêm lần nữa, tôi sẽ giết anh.”



	Ellis vỗ nhẹ vào lưng Kuan.



	“Này, không phải chuyện gì đáng tức giận đâu. Bạn thời thơ ấu của cô đang già đi vì sự thương hại của cô, nên tất nhiên chị gái này phải vào cuộc. Hơn nữa, nếu là Olivier Shiina, cô sẽ không bao giờ bị bỏ rơi như một cô dâu.”



	Kuan nhớ lại chuyện đã xảy ra cách đây vài ngày.



	Tôi ra ngoài vì có cuộc hẹn quan trọng, và hóa ra đó là chiếc ghế mà Ellis đã chuẩn bị.



	Đối thủ là Olivier Shiina, một pháp sư hiện đang theo học tại Trường Ma thuật Alpheus.



	Có vẻ như việc tiếp tục ngay từ đầu là không thể, và cô ấy cũng chịu nhiều áp lực từ phía gia đình.



	Tất nhiên, cô không phải là kiểu phụ nữ thể hiện những cảm xúc như vậy, nhưng nếu cô thích một người đàn ông, thì việc anh ta thay đổi ánh mắt chẳng phải là điều bình thường sao?



	“Anh ấy là người tốt. Anh ấy cũng có học thức.”



	“Hả?”



	Ellis thực sự ngạc nhiên.



	Cho đến bây giờ, Quan Vũ chưa từng khen ngợi phụ nữ, lúc còn trẻ, hắn điên cuồng vì kiếm, sau khi bị thương gân Achilles, hắn không còn hứng thú với bất cứ thứ gì trên đời.



	Nếu gọi ông là người tốt thì đó hẳn là lời khen ngợi cao nhất.



	“Vậy anh thích chứ? Vậy tôi sẽ liên lạc lại với anh……!”



	Ellis nhún vai sợ hãi khi ánh nhìn giết người hiện lên trong mắt Kuan.



	Vào những lúc như thế này, không bao giờ được động vào Kuan.



	Một mặt, Ellis cảm thấy có lỗi với bạn mình.



	Nếu anh thích Shiina, anh hẳn đã bắt cô ngay lúc đó. Nhưng với tính cách của Kuan, anh sẽ không bao giờ có thể làm được điều đó.



	‘Chẳng lẽ… … bọn họ bắt nạt mình vì đôi chân của mình sao?’



	Gia đình Olipher có trình độ giáo dục cơ bản, nhưng đó là điều bạn không bao giờ biết.



	Tôi nghe nói rằng có vẻ như họ bị ép buộc phải làm như vậy, và hơn hết, hầu hết thời gian, những chuyện giữa đàn ông và phụ nữ đều là những trường hợp mà họ không thể kiểm soát được cảm xúc của mình.



	'Đi khập khiễng một chút thì có gì sai? Dù sao thì, tôi nói cho anh biết, anh không có mắt nhìn đàn ông.'



	Chấn thương của Kuan không thể chữa khỏi ngay cả khi Ellis đã ghép dây thần kinh, vì dây chằng không bị rách mà bị rách hoàn toàn.



	Khi Kuan trở về từ chiến trường với một chân bị mất, cô đã khóc suốt nhiều ngày, cảm thấy bất lực và không thể làm gì được.



	Ông được coi là hiện thân của thanh kiếm trước khi được đặt biệt danh là Pháp sư tử thần. Thật đau lòng biết bao khi một người đàn ông như vậy phải mất đi một chân.



	Một năm sau, Ellis đề nghị Kuan một vị trí làm giáo viên tại trường dạy kiếm thuật. Và anh đã quyết định. Bất kể mất bao lâu, anh sẽ chữa lành chân của mình.



	Đó là mức độ tôi ghét người phụ nữ tên Shiina đến mức muốn chết.



	Tôi không thể tưởng tượng được vì không thể nhìn thấy mặt anh ta, nhưng đúng như mong đợi của một người am hiểu về phép thuật băng, một cơn gió lạnh hẳn đang thổi.



	Tôi bị sao mà anh lại muốn mua Kuan?



	Đôi mắt tôi hoàn toàn trống rỗng khi nhìn thấy đàn ông.



	“Kuan, người phụ nữ kia có phải là…!”



	Reina tiến lại gần, cắt ngang lời Ellis.



	“Thầy Kuan!”



	Kuan nhìn Reina từ trên xuống dưới rồi hỏi một cách vô tình.



	“Bạn là ai?”



	“Đây là Reina, chị gái của Lian! Hôm nay chúng tôi có hẹn phỏng vấn.”



	Kuan nhấp một ngụm cà phê và gật đầu.



	“Ồ, tôi đoán là vậy.”



	Reina bối rối.



	Các bậc phụ huynh đã yêu cầu phỏng vấn và có vẻ như điều đó đã xảy ra.



	Vì ông là một giáo viên vô tâm nên đã đánh trượt Lian mà không nhìn ra được bản chất thật của cô.



	Ellis mỉm cười rạng rỡ và yêu cầu ngồi.



	“Ồ, tôi hiểu rồi. Lian là một đứa trẻ tốt bụng và chính trực. Đến đây, đến đây. Bạn có muốn uống cà phê không? Hay một loại trà nào khác?”



	Khi Ellis đối xử nồng hậu với Reina, cô cũng cố gắng bình tĩnh lại.



	Giá như Kuan đừng đốt cháy trái tim lạnh giá của anh.



	“Nhưng mà sao anh lại tới đây? Có vẻ như Liên không có vấn đề gì, vẫn còn ngây thơ, chỉ luyện sức mạnh, vẫn là hạng chót, ha ha.”



	Khi chất độc tràn ngập trong mắt Reina, Ellis, người vẫn đang theo dõi cô chặt chẽ, đã di chuyển ra xa.



	Dựa trên kinh nghiệm của tôi cho đến nay, trong những tình huống như thế này, tốt nhất là nên rời đi càng sớm càng tốt.



	Reina nghĩ rằng cô chỉ phải chịu đựng một lần nên đã nộp bảng điểm của mình.



	“Bây giờ, hãy nhìn vào đây.”



	“Đây là bảng điểm của Lian. Bảng điểm hạng bét.”



	“Tôi nghe nói thành tích của Liên không kém gì những đứa trẻ khác. Nhưng tại sao cô ấy lại trượt? Tôi muốn nghe một lời giải thích về điều này.”



	Kuan nói như thể không có chuyện gì.



	“Tôi không thể làm sơ đồ.”



	Reina bối rối.



	“Vậy sao anh có thể đánh trượt tôi được? Tôi cũng biết cách làm sơ đồ mà! Nhưng nếu bây giờ tôi đấu với Liên, tôi sẽ thua! Đó thực sự là điều duy nhất anh có thể làm để đánh giá học sinh sao?”
